Verslóritgerðir	Verslóritgerð	nvfn-s
borgarinnar	borg	nveeg
sameinuð	sameina	sþghfn
undir	undir	af
einn	einn	tfkeo
hatt	hattur	nkeo
.	.	pl

Menningar-	menningarsvið	kt
og	og	c
ferðamálasvið	ferðamálasvið	nhen
er	vera	sfg3en
eitt	einn	tfhen
af	af	af
ellefu	ellefu	tfhfþ
sviðum	svið	nhfþ
borgarinnar	borg	nveeg
og	og	c
eins	eins	aa
og	og	c
önnur	annar	fohfn
svið	svið	nhfn
heyrir	heyra	sfg3en
það	það	fphen
beint	beint	aa
undir	undir	af
borgarstjóra	borgarstjóri	nkeo
.	.	pl

Stefnumörkun	stefnumörkun	nven
fyrir	fyrir	af
sviðið	svið	nheog
fer	fara	sfg3en
fram	fram	aa
í	í	af
menningar-	menningarráð	kt
og	og	c
ferðamálaráði	ferðamálaráð	nheþ
en	en	c
í	í	af
því	það	fpheþ
sitja	sitja	sfg3fn
pólitískt	pólitískt	aa
kjörnir	kjörinn	lkfnsf
fulltrúar	fulltrúi	nkfn
.	.	pl

Menningar-	Menningarsvið	kt
og	og	c
ferðamálasvið	ferðamálasvið	nhen
fer	fara	sfg3en
með	með	af
ábyrgð	ábyrgð	nveo
á	á	af
menningarmálum	menningarmál	nhfþ
og	og	c
rekstri	rekstur	nkeþ
menningarstofnana	menningarstofnun	nvfe
Reykjavíkurborgar	Reykjavíkurborg	nvee-s
og	og	c
sér	sjá	sfg3en
um	um	af
tengsl	tengsl	nhfo
og	og	c
þjónustu	þjónusta	nveo
við	við	af
ferðaþjónustuna	ferðaþjónusta	nveog
og	og	c
kynningu	kynning	nveo
á	á	af
Reykjavík	Reykjavík	nveþ-s
.	.	pl

Skipulagning	skipulagning	nven
og	og	c
framkvæmd	framkvæmd	nven
ýmissa	ýmis	fokfe
viðburða	viðburður	nkfe
og	og	c
hátíða	hátíð	nvfe
í	í	af
borginni	borg	nveþg
er	vera	sfg3en
einnig	einnig	aa
á	á	af
könnu	kanna	nveþ
sviðsins	svið	nheeg
.	.	pl

Sviðstjóri	sviðstjóri	nken
ber	bera	sfg3en
ábyrgð	ábyrgð	nveo
á	á	af
að	að	c
rekstur	rekstur	nken
og	og	c
stjórnsýsla	stjórnsýsla	nven
sé	vera	svg3en
í	í	af
samræmi	samræmi	nheþ
við	við	af
lög	lag	nhfo
og	og	c
stefnu	stefna	nveo
og	og	c
ákvarðanir	ákvörðun	nvfo
menningar-	menningarráð	kt
og	og	c
ferðamálaráðs	ferðamálaráð	nhee
.	.	pl

Svanhildur	Svanhildur	nven-s
Konráðsdóttir	Konráðsdóttir	nven-s
er	vera	sfg3en
sviðstjóri	sviðstjóri	nken
Menningar-	Menningarsvið	kt
og	og	c
ferðamálasviðs	ferðamálasvið	nhee
.	.	pl

Skrifstofa	skrifstofa	nven
sviðsins	svið	nheeg
heldur	halda	sfg3en
utan	utan	aa
um	um	aa
og	og	c
ber	bera	sfg3en
ábyrgð	ábyrgð	nveo
á	á	af
svörun	svörun	nveþ
erinda	erindi	nhfe
,	,	pk
skjalavörslu	skjalavarsla	nveþ
og	og	c
þjónustu	þjónusta	nveþ
við	við	af
menningar	menning	x
og	og	c
ferðamálaráð	ferðamálaráð	nheo
,	,	pk
áætlanagerð	áætlanagerð	nveþ
,	,	pk
uppgjöri	uppgjör	nheþ
og	og	c
eftirliti	eftirlit	nheþ
með	með	af
rekstri	rekstur	nkeþ
.	.	pl

Höfuðborgarstofa	Höfuðborgarstofa	nven-s
,	,	pk
skrifstofa	skrifstofa	nven
ferða-	ferðamál	kt
og	og	c
markaðsmála	markaðsmál	nhfe
ber	bera	sfg3en
ábyrgð	ábyrgð	nveo
á	á	af
heildstæðri	heildstæður	lveþsf
kynningu	kynning	nveþ
á	á	af
Reykjavík	Reykjavík	nveþ-s
samkvæmt	samkvæmt	af
ferðamálastefnu	ferðamálastefna	nveþ
Reykjavíkurborgar	Reykjavíkurborg	nvee-s
og	og	c
á	á	af
rekstri	rekstur	nkeþ
Upplýsingamiðstöðvar	Upplýsingamiðstöð	nvee-s
ferðamanna	ferðamaður	nkfe
í	í	af
Reykjavík	Reykjavík	nveþ-s
.	.	pl

Skrifstofa	skrifstofa	nven
menningarmála	menningarmál	nhfe
hefur	hafa	sfg3en
eftirlit	eftirlit	nheo
með	með	af
framkvæmd	framkvæmd	nveþ
stefnumótunar	stefnumótun	nvee
og	og	c
starfsáætlana	starfsáætlun	nvfe
menningarstofnana	menningarstofnun	nvfe
borgarinnar	borg	nveeg
sem	sem	ct
heyra	heyra	sfg3fn
undir	undir	af
hana	hún	fpveo
.	.	pl

Menningarstofnanir	menningarstofnun	nvfn
Reykjavíkurborgar	Reykjavíkurborg	nvee-s
starfa	starfa	sfg3fn
samkvæmt	samkvæmt	af
sérstökum	sérstakur	lvfþsf
samþykktum	samþykkt	nvfþ
Reykjavíkurborgar	Reykjavíkurborg	nvee-s
,	,	pk
lögum	lag	nhfþ
og	og	c
reglugerðum	reglugerð	nvfþ
á	á	af
hverju	hver	foheþ
sviði	svið	nheþ
.	.	pl

Stjórnendur	stjórnandi	nkfn
þeirra	hún	fpvfe
bera	bera	sfg3fn
faglega	faglegur	lveosf
og	og	c
rekstrarlega	rekstarlegur	lveosf
ábyrgð	ábyrgð	nveo
gagnvart	gagnvart	af
menningar-	menningarráð	kt
og	og	c
ferðamálaráði	ferðamálaráð	nheþ
.	.	pl

Samkvæmt	samkvæmt	af
áætlun	áætlun	nveþ
sviðsins	svið	nheeg
fyrir	fyrir	af
árið	ár	nheog
2007	2007	ta
er	vera	sfg3en
fjöldi	fjöldi	nken
starfsmana	starfsmaður	x
á	á	af
sviðin	svið	nhfog
231	231	ta
í	í	af
156,5	156,5	ta
stöðugildum	stöðugildi	nhfþ
en	en	c
skiptingu	skipting	nveo
á	á	aa
milli	milli	af
stofnana	stofnun	nvfe
má	mega	sfg3en
sjá	sjá	sng
í	í	af
töflu	tafla	nveþ
hér	hér	aa
að	að	aa
neðan	neðan	aa
(	(	pa
Reykjavíkurborg	Reykjavíkurborg	nven-s
,	,	pk
e.d.	e.d.	ks
;	;	pk
Reykjavíkurborg	Reykjavíkurborg	nven-s
,	,	pk
2007	2007	ta
)	)	pa
.	.	pl

<	<	pa
...	...	pa
>	>	pa
Tafla	tafla	nven
1	1	ta
.	.	pl

Starfsmannafjöldi	starfsmannafjöldi	nken
Menningar-	menningarsvið	kt
og	og	c
ferðamálasviðs	ferðamálasvið	nhee
2007	2007	ta
(	(	pa
Reykjavíkurborg	Reykjavíkurborg	nven-s
,	,	pk
2007	2007	ta
)	)	pa
.	.	pl

Konur	kona	nvfn
eru	vera	sfg3fn
í	í	af
miklum	mikill	lkeþsf
meirihluta	meirihluti	nkeþ
á	á	af
sviðinu	svið	nheþg
en	en	c
80%	80%	tp
starfsmanna	starfsmaður	nkfe
eru	vera	sfg3fn
konur	kona	nvfn
.	.	pl

Háskólamenntaðir	háskólamenntaður	lkfnsf
starfsmenn	starfsmaður	nkfn
eru	vera	sfg3fn
einnig	einnig	aa
töluvert	töluvert	aa
fleiri	margur	lkfnvm
en	en	c
starfsmenn	starfsmaður	nkfn
án	án	af
háskólaprófs	háskólapróf	nhee
og	og	c
eru	vera	sfg3fn
þeir	hann	fpkfn
um	um	aa
63%	63%	tp
(	(	pa
Ása	Ása	nven-s
Sigríður	Sigríður	nven-s
Þórisdóttir	Þórisdóttir	nven-s
,	,	pk
munnleg	munnlegur	lvensf
heimild	heimild	nven
,	,	pk
4.	4.	ta
júní	júní	nkeo
2007	2007	ta
)	)	pa
.	.	pl

Hér	hér	aa
á	á	aa
eftir	eftir	aa
verður	verða	sfg3en
gerð	gera	sþgven
nánari	náinn	lvenvm
grein	grein	nven
fyrir	fyrir	af
starfsemi	starfsemi	nveþ
Höfuðborgarstofu	Höfuðborgarstofa	nvee-s
og	og	c
menningarstofnananna	menningarstofnun	nvfeg
fimm	fimm	ta
.	.	pl

2.4.1	2.4.1	ta
Höfuðborgarstofa	Höfuðborgarstofa	nven-s
Höfuðborgarstofa	Höfuðborgarstofa	nven-s
tók	taka	sfg3eþ
til	til	af
starfa	starf	nhfe
árið	ár	nheog
2003	2003	ta
og	og	c
ber	bera	sfg3en
hún	hún	fpven
ábyrgð	ábyrgð	nveo
á	á	af
heildarkynningu	heildarkynning	nveþ
Reykjavíkur	Reykjavík	nvee-s
á	á	af
sviði	svið	nheþ
ferðamála	ferðamál	nhfe
innanlands	innanlands	aa
og	og	c
utan	utan	aa
.	.	pl

Höfuðborgarstofa	Höfuðborgarstofa	nven-s
sér	sjá	sfg3en
um	um	af
rekstur	rekstur	nkeo
Upplýsingamiðstöðvar	Upplýsingamiðstöð	nvee-s
ferðamanna	ferðamaður	nkfe
í	í	af
Reykjavík	Reykjavík	nveþ-s
og	og	c
hefur	hafa	sfg3en
umsjón	umsjón	nveo
með	með	af
almennum	almennur	lhfþsf
ferða-	ferðamál	kt
og	og	c
kynningarmálum	kynningarmál	nhfþ
Reykjavíkur	Reykjavík	nvee-s
.	.	pl

Hún	hún	fpven
er	vera	sfg3en
ráðgefandi	ráðgefandi	lvenof
fyrir	fyrir	af
skipuleggjendur	skipuleggjandi	nkfo
stórra	stór	lkfesf
viðburða	viðburður	nkfe
í	í	af
Reykjavík	Reykjavík	nveþ-s
og	og	c
ber	bera	sfg3en
ábyrgð	ábyrgð	nveo
á	á	af
skipulagi	skipulag	nheþ
og	og	c
framkvæmd	framkvæmd	nveþ
ýmissa	ýmis	fokfe
viðburða	viðburður	nkfe
á	á	af
vegum	vegur	nkfþ
borgarinnar	borg	nveeg
svo	svo	aa
sem	sem	c
Vetrarhátíðar	Vetrarhátíð	nvee-s
,	,	pk
Menningarnætur	Menningarnótt	nvee-s
og	og	c
Aðventuhátíðar	Aðventuhátíð	nvee-s
.	.	pl

Árið	ár	nheog
2006	2006	ta
var	vera	sfg3eþ
Höfuðborgarstofu	Höfuðborgarstofa	nveþ-s
einnig	einnig	aa
falin	fela	sþgven
umsjón	umsjón	nven
með	með	af
þekkingarheimsóknum	þekkingarheimsókn	nvfþ
til	til	af
Reykjavíkur	Reykjavík	nvee-s
en	en	c
þær	hún	fpvfn
felast	fela	sfm3fn
í	í	af
skipulögðum	skipulagður	lvfþsf
heimsóknum	heimsókn	nvfþ
erlendra	erlendur	lkfesf
aðila	aðili	nkfe
sem	sem	ct
vilja	vilja	sfg3fn
kynna	kynna	sng
sér	sig	fpkfþ
starfsemi	starfsemi	nveo
og	og	c
sérstöðu	sérstaða	nveo
borgarinnar	borg	nveeg
(	(	pa
Reykjavíkurborg	Reykjavíkurborg	nven-s
e.d.	e.d.	ks
;	;	pk
Reykjavíkurborg	Reykjavíkurborg	nven-s
,	,	pk
2007	2007	ta
)	)	pa
.	.	pl

Samkvæmt	samkvæmt	af
áætlun	áætlun	nveþ
fyrir	fyrir	af
árið	ár	nheog
2007	2007	ta
eru	vera	sfg3fn
starfsmenn	starfsmaður	nkfn
14	14	ta
í	í	af
9,9	9,9	ta
stöðugildum	stöðugildi	nhfþ
.	.	pl

Fjárhagsrammi	fjárhagsrammi	nken
fyrir	fyrir	af
árið	ár	nheog
2007	2007	ta
er	vera	sfg3en
103.981.000	103.981.000	ta
krónur	króna	nvfn
.	.	pl

Gestafjöldi	gestafjöldi	nken
á	á	af
Upplýsingamiðstöð	Upplýsingamiðstöð	nveþ-s
er	vera	sfg3en
áætlaður	áætla	sþgken
230.000	230.000	ta
á	á	af
árinu	ár	nheþg
,	,	pk
fjöldi	fjöldi	nken
erlendra	erlendur	lkfesf
ferðamanna	ferðamaður	nkfe
til	til	af
landsins	land	nheeg
er	vera	sfg3en
430.000	430.000	ta
og	og	c
fjöldi	fjöldi	nken
heimsókna	heimsókn	nvfe
á	á	af
vefsvæði	vefsvæði	nheo
www.visitreykjavik.is	www.visitreykjavik.is	v
er	vera	sfg3en
áætlaður	áætla	sþgken
380.000	380.000	ta
(	(	pa
Reykjavíkurborg	Reykjavíkurborg	nven-s
,	,	pk
2007	2007	ta
)	)	pa
.	.	pl

2.4.2	2.4.2	ta
Borgarbókasafn	Borgarbókasafn	nhen-s
Borgarbókasafn	Borgarbókasafn	nhen-s
var	vera	sfg3eþ
stofnað	stofna	sþghen
1919	1919	ta
,	,	pk
en	en	c
starfsemi	starfsemi	nven
þess	það	fphee
hófst	hefja	sfm3eþ
1923	1923	ta
og	og	c
er	vera	sfg3en
safnið	safn	nheng
því	því	aa
ein	einn	foven
elsta	gamall	lvenve
menningarstofnun	menningarstofnun	nven
borgarinnar	borg	nveeg
.	.	pl

Safnið	safn	nheng
gekk	ganga	sfg3eþ
upphaflega	upphaflega	aa
undir	undir	af
nafninu	nafn	nheþg
Alþýðubókasafn	Alþýðubókasafn	nhen-s
Reykjavíkur	Reykjavík	nvee-s
,	,	pk
síðan	síðan	aa
Bæjarbókasafn	Bæjarbókasafn	nhen-s
Reykjavíkur	Reykjavík	nvee-s
og	og	c
að	að	af
lokum	lok	nhfþ
var	vera	sfg3eþ
nafninu	nafn	nheþg
breytt	breyta	sþghen
í	í	af
Borgarbókasafn	Borgarbókasafn	nheo-s
Reykjavíkur	Reykjavík	nvee-s
(	(	pa
Þórdís	Þórdís	nven-s
Þorvaldsdóttir	Þorvaldsdóttir	nven-s
,	,	pk
1997	1997	ta
)	)	pa
.	.	pl

Borgarbókasafnið	Borgarbókasafn	nhengs
er	vera	sfg3en
jafnframt	jafnframt	aa
stærsta	stór	lvenve
menningarstofnun	menningarstofnun	nven
borgarinnar	borg	nveeg
og	og	c
með	með	af
flesta	margur	lkfose
starfsmenn	starfsmaður	nkfo
.	.	pl

Innan	innan	af
safnsins	safn	nheeg
skipist	skipa	x
starfsemin	starfsemi	nveng
í	í	af
þrjú	þrír	tfhfo
meginsvið	meginsvið	nhfo
,	,	pk
rekstrar-	rekstrarsvið	kt
,	,	pk
þjónustu-	þjónustusvið	kt
og	og	c
þróunarsvið	þróunarsvið	nheo
.	.	pl

Borgarbókasafnið	Borgarbókasafn	nhengs
starfrækir	starfrækja	sfg3en
sjö	sjö	tfhfo
söfn	safn	nhfo
víðsvegar	víðsvegar	aa
um	um	af
borgina	borg	nveog
og	og	c
rekur	reka	sfg3en
auk	auk	af
þess	það	fphee
bókabíl	bókabíll	nkeo
með	með	af
36	36	ta
viðkomustöðum	viðkomustaður	nkfþ
.	.	pl

Safnið	safn	nheng
hefur	hafa	sfg3en
einnig	einnig	aa
samstarf	samstarf	nheo
við	við	af
Bóksafnið	Bóksafn	nheogs
í	í	af
Mosfellsbæ	Mosfellsbær	nkeþ-s
og	og	c
Bókasafn	Bókasafn	nheo-s
Seltjarnarness	Seltjarnarnes	nhee-s
.	.	pl

Borgarbókasafn	Borgarbókasafn	nhen-s
er	vera	sfg3en
upplýsinga-	upplýsingastofnun	kt
og	og	c
menningarstofnum	menningarstofnun	x
sem	sem	ct
starfar	starfa	sfg3en
í	í	af
samræmi	samræmi	nheþ
við	við	af
gildandi	gildandi	lhfoof
lög	lag	nhfo
um	um	af
almenningsbókasöfn	almenningsbókasafn	nhfo
nr.	nr.	ks
36	36	ta
frá	frá	af
1997	1997	ta
,	,	pk
samkvæmt	samkvæmt	af
samþykkt	samþykkt	nveþ
um	um	af
Borgarbókasafn	Borgarbókasafn	nheo-s
frá	frá	af
2002	2002	ta
og	og	c
yfirlýsingu	yfirlýsing	nveþ
Menningar-	Menningarstofnun	kt
og	og	c
vísindastofnunar	vísindastofnun	nvee
Sameinuðu	sameinaður	lvfevf
þjóðanna	þjóð	nvfeg
(	(	pa
Unesco	Unesco	n----s
)	)	pa
um	um	af
almenningsbókasöfn	almenningsbókasafn	nhfo
frá	frá	af
1994	1994	ta
.	.	pl

Í	í	af
aðalsafni	aðalsafn	nheþ
Borgarbóksafns	Borgarbókasafn	nhee-s
er	vera	sfg3en
rekið	reka	sþghen
Artótek	Artótek	nhen-s
,	,	pk
sem	sem	ct
sér	sjá	sfg3en
um	um	af
að	að	cn
leigja	leigja	sng
listaverk	listaverk	nhfo
eftir	eftir	af
samtímalistamenn	samtímalistamaður	nkfo
í	í	af
samvinnu	samvinna	nveþ
við	við	af
Samband	Samband	nheo-s
íslenskra	íslenskur	lkfesf
myndlistarmanna	myndlistarmaður	nkfe
.	.	pl

Safnið	safn	nheng
sér	sjá	sfg3en
einnig	einnig	aa
um	um	af
að	að	cn
kynna	kynna	sng
íslenska	íslenskur	lkfosf
samtímahöfunda	samtímahöfundur	nkfo
og	og	c
verk	verk	nhfo
þeirra	hann	fpkfe
á	á	af
bókmenntavef	bókmenntavefur	nkeþ
sínum	sinn	fekeþ
,	,	pk
www.bokmenntir.is	www.bokmenntir.is	v
(	(	pa
Borgarbókasafn	Borgarbókasafn	nhen-s
,	,	pk
e.	e	x
d	d	x
)	)	pa
.	.	pl

Borgarbókavörður	borgarbókavörður	nken
,	,	pk
Anna	Anna	nven-s
Torfadóttir	Torfadóttir	nven-s
,	,	pk
er	vera	sfg3en
forstöðumaður	forstöðumaður	nken
Borgarbókasafns	Borgarbókasafn	nhee-s
en	en	c
safnstjóri	safnstjóri	nken
er	vera	sfg3en
yfir	yfir	af
hverju	hver	foheþ
safni	safn	nheþ
.	.	pl

Samkvæmt	samkvæmt	af
áætlun	áætlun	nveþ
fyrir	fyrir	af
árið	ár	nheog
2007	2007	ta
eru	vera	sfg3fn
starfsmenn	starfsmaður	nkfn
104	104	ta
í	í	af
85,3	85,3	ta
stöðugildum	stöðugildi	nhfþ
.	.	pl

Fjárhagsrammi	fjárhagsrammi	nken
fyrir	fyrir	af
árið	ár	nheog
2007	2007	ta
er	vera	sfg3en
486.207.000	486.207.000	ta
krónur	króna	nvfn
.	.	pl

Gestafjöldi	gestafjöldi	nken
er	vera	sfg3en
áætlaður	áætla	sþgken
580.000	580.000	ta
á	á	af
árinu	ár	nheþg
,	,	pk
þar	þar	aa
af	af	aa
skólanemar	skólanemi	nkfn
í	í	af
skipulögðum	skipulagður	lvfþsf
heimsóknum	heimsókn	nvfþ
6.000	6.000	ta
.	.	pl

Áætlaður	áætlaður	lkensf
safnkostur	safnkostur	nken
er	vera	sfg3en
490.000	490.000	ta
gögn	gagn	nhfn
og	og	c
afgreiðslustundir	afgreiðslustund	nvfn
safna	safn	nhfe
og	og	c
bókabíls	bókabíll	nkee
á	á	af
viku	vika	nveþ
360	360	ta
og	og	c
fjöldi	fjöldi	nken
viðburða	viðburður	nkfe
210	210	ta
(	(	pa
Reykjavíkurborg	Reykjavíkurborg	nven-s
,	,	pk
2007	2007	ta
)	)	pa
.	.	pl

2.4.3	2.4.3	ta
Menningarmiðstöðin	menningarmiðstöð	nveng
Gerðuberg	Gerðuberg	nhen-s
Menningarmiðstöðin	menningarmiðstöð	nveng
Gerðuberg	Gerðuberg	nhen-s
tók	taka	sfg3eþ
til	til	af
starfa	starf	nhfe
árið	ár	nheog
1983	1983	ta
.	.	pl

Starfsemi	starfsemi	nven
Menningarstofnunarinnar	Menningarstofnun	nveegs
er	vera	sfg3en
tvíþætt	tvíþættur	lvensf
.	.	pl

Annars	annar	fokee
vegar	vegur	nkee
er	vera	sfg3en
um	um	af
öfluga	öflugur	lveosf
og	og	c
margþætta	margþættur	lveosf
menningarstarfsemi	menningarstarfsemi	nveo
að	að	cn
ræða	ræða	sng
sem	sem	ct
felst	fela	sfm3en
meðal	meðal	af
annars	annar	fohee
í	í	af
listsýningum	listsýning	nvfþ
,	,	pk
tónleikum	tónleikar	nkfþ
,	,	pk
útgáfu	útgáfa	nveþ
,	,	pk
fræðslu	fræðsla	nveþ
sem	sem	ct
tengist	tengja	sfm3en
hinum	hinn	favfþ
ýmsu	ýmis	fovfþ
listum	list	nvfþ
og	og	c
svo	svo	aa
loks	loks	aa
rit-	ritþing	kt
,	,	pk
tón-	tónþing	kt
og	og	c
sjónþingum	sjónþing	nhfþ
.	.	pl

Hins	hinn	fakee
vegar	vegur	nkee
er	vera	sfg3en
rekið	reka	sþghen
innan	innan	af
Menningarmiðstöðvarinnar	Menningarmiðstöð	nveegs
félagsstarf	félagsstarf	nhen
sem	sem	ct
er	vera	sfg3en
opið	opinn	lhensf
öllum	allur	fokfþ
óháð	óháð	af
búsetu	búseta	nveþ
og	og	c
aldri	aldur	nkeþ
.	.	pl

Félagsstarfið	félagsstarf	nheng
er	vera	sfg3en
afmarkaður	afmarkaður	lkensf
þáttur	þáttur	nken
innan	innan	af
Gerðubergs	Gerðuberg	nhee-s
og	og	c
hefur	hafa	sfg3en
starfsemin	starfsemi	nveng
til	til	af
að	að	cn
mynda	mynda	sng
eigið	eiginn	lheosf
hlutverk	hlutverk	nheo
og	og	c
leiðarljós	leiðarljós	nheo
,	,	pk
en	en	c
rekstur	rekstur	nken
þess	það	fphee
tilheyrir	tilheyra	sfg3en
þó	þó	aa
alfarið	alfarið	aa
Gerðubergi	Gerðuberg	nheþ-s
.	.	pl

Framkvæmdastjóri	framkvæmdastjóri	nken
frá	frá	af
upphafi	upphaf	nheþ
til	til	af
dagsins	dagur	nkeeg
í	í	af
dag	dagur	nkeo
er	vera	sfg3en
Elísabet	Elísabet	nven-s
B.	B.	ks
Þórisdóttir	Þórisdóttir	nven-s
(	(	pa
Gerðuberg	Gerðuberg	nhen-s
,	,	pk
e.	e	x
d	d	x
)	)	pa
.	.	pl

Samkvæmt	samkvæmt	af
áætlun	áætlun	nveþ
fyrir	fyrir	af
árið	ár	nheog
2007	2007	ta
eru	vera	sfg3fn
starfsmenn	starfsmaður	nkfn
17	17	ta
í	í	af
10,8	10,8	ta
stöðugildum	stöðugildi	nhfþ
.	.	pl

Fjárhagsrammi	fjárhagsrammi	nken
fyrir	fyrir	af
árið	ár	nheog
2007	2007	ta
er	vera	sfg3en
85.752.000	85.752.000	ta
krónur	króna	nvfn
.	.	pl

Gestafjöldi	gestafjöldi	nken
er	vera	sfg3en
áætlaður	áætla	sþgken
130.000	130.000	ta
á	á	af
árinu	ár	nheþg
og	og	c
þar	þar	aa
af	af	aa
er	vera	sfg3en
gert	gera	sþghen
ráð	ráð	nhen
fyrir	fyrir	af
1.400	1.400	ta
skólanemum	skólanemi	nkfþ
í	í	af
skipulögðum	skipulagður	lvfþsf
heimsóknum	heimsókn	nvfþ
.	.	pl

Fjöldi	fjöldi	nken
viðburða	viðburður	nkfe
verða	verða	sfg3fn
50	50	ta
á	á	af
árinu	ár	nheþg
og	og	c
eru	vera	sfg3fn
samstarfsaðilar	samstarfsaðili	nkfn
áætlaðir	áætla	sþgkfn
um	um	aa
75	75	ta
(	(	pa
Reykjavíkurborg	Reykjavíkurborg	nven-s
,	,	pk
2007	2007	ta
)	)	pa
.	.	pl

2.4.4	2.4.4	ta
Listasafn	Listasafn	nhen-s
Reykjavíkur	Reykjavík	nvee-s
Listasafn	Listasafn	nhen-s
Reykjavíkur	Reykjavík	nvee-s
er	vera	sfg3en
starfrækt	starfrækja	sþghen
á	á	af
þremur	þrír	tfkfþ
stöðum	staður	nkfþ
í	í	af
Reykjavík	Reykjavík	nveþ-s
,	,	pk
í	í	af
Hafnarhúsinu	Hafnarhús	nheþgs
,	,	pk
á	á	af
Kjarvalsstöðum	Kjarvalsstaðir	nkfþ-s
og	og	c
í	í	af
Ásmundarsafni	Ásmundarsafn	nheþ-s
.	.	pl

Árið	ár	nheog
2006	2006	ta
var	vera	sfg3eþ
mörkuð	marka	sþgven
ný	nýr	lvensf
og	og	c
skýr	skýr	lvensf
stefna	stefna	nven
í	í	af
sýningarstarfi	sýningarstarf	nheþ
safnsins	safn	nheeg
og	og	c
var	vera	sfg3eþ
haft	hafa	sþghen
að	að	af
leiðarljósi	leiðarljós	nheþ
að	að	cn
gefa	gefa	sng
borgarbúum	borgarbúi	nkfþ
sem	sem	ct
besta	góður	lveose
yfirsýn	yfirsýn	nveo
og	og	c
skilning	skilningur	nkeo
á	á	af
víðtækri	víðtækur	lveþsf
list	list	nveþ
samtímans	samtími	nkeeg
,	,	pk
erlendri	erlendur	lveþsf
sem	sem	c
innlendri	innlendur	lveþsf
.	.	pl

Listasafn	Listasafn	nhen-s
Reykjavíkur	Reykjavík	nvee-s
í	í	af
Hafnarhúsinu	Hafnarhús	nheþgs
,	,	pk
Tryggvagötu	Tryggvagata	nveþ-s
17	17	ta
,	,	pk
var	vera	sfg3eþ
opnað	opna	sþghen
í	í	af
apríl	apríl	nkeþ
árið	ár	nheog
2000	2000	ta
.	.	pl

Þar	þar	aa
eru	vera	sfg3fn
settar	setja	sþgvfn
upp	upp	aa
sýningar	sýning	nvfn
úr	úr	af
almennri	almennur	lveþsf
listaverkaeign	listaverkaeign	nveþ
safnsins	safn	nheeg
,	,	pk
sýningar	sýning	nvfn
á	á	af
verkum	verk	nhfþ
eftir	eftir	af
íslenska	íslenskur	lkfosf
og	og	c
erlenda	erlendur	lkfosf
listamenn	listamaður	nkfo
auk	auk	af
þess	það	fphee
sem	sem	c
reglulega	reglulega	aa
eru	vera	sfg3fn
sýningar	sýning	nvfn
á	á	af
verkum	verk	nhfþ
Errós	Erró	nkee-s
.	.	pl

Kjarvalsstaðir	Kjarvalsstaðir	nkfn-s
voru	vera	sfg3fþ
opnaðir	opna	sþgkfn
árið	ár	nheog
1973	1973	ta
.	.	pl

Þar	þar	aa
er	vera	sfg3en
varðveitt	varðveita	sþgven
listaverkaeign	listaverkaeign	nven
Reykjavíkurborgar	Reykjavíkurborg	nvee-s
,	,	pk
þar	þar	aa
á	á	aa
meðal	meðal	aa
stórt	stór	lhensf
safn	safn	nhen
verka	verk	nhfe
Jóhannesar	Jóhannes	nkee-s
S.	S.	ks
Kjarvals	Kjarval	nkee-s
.	.	pl

Á	á	af
Kjarvalsstöðum	Kjarvalsstaðir	nkfþ-s
eru	vera	sfg3fn
settar	setja	sþgvfn
upp	upp	aa
sýningar	sýning	nvfn
á	á	af
verkum	verk	nhfþ
eftir	eftir	af
íslenska	íslenskur	lkfosf
og	og	c
erlenda	erlendur	lkfosf
listamenn	listamaður	nkfo
með	með	af
áherslu	áhersla	nveo
á	á	af
samtímalist	samtímalist	nveo
.	.	pl

Sýningar	sýning	nvfn
á	á	af
verkum	verk	nhfþ
eftir	eftir	af
Kjarval	Kjarval	nkeo-s
eiga	eiga	sfg3fn
sér	sig	fpvfþ
svo	svo	aa
fastan	fastur	lkeosf
sess	sess	nkeo
í	í	af
austursal	austursalur	nkeþ
safnsins	safn	nheeg
.	.	pl

Ásmundarsafn	Ásmundarsafn	nhen-s
var	vera	sfg3eþ
formlega	formlega	aa
opnað	opna	sþghen
árið	ár	nheog
1983	1983	ta
.	.	pl

Húsið	hús	nheng
,	,	pk
sem	sem	ct
var	vera	sfg3eþ
heimili	heimili	nhen
og	og	c
vinnustofa	vinnustofa	nven
Ásmundar	Ásmundur	nkee-s
Sveinssonar	Sveinsson	nkee-s
,	,	pk
var	vera	sfg3eþ
hannað	hanna	sþghen
og	og	c
byggt	byggja	sþghen
af	af	af
honum	hann	fpkeþ
sjálfum	sjálfur	fbkeþ
.	.	pl

Ásmundur	Ásmundur	nken-s
ánafnaði	ánafna	sfg3eþ
Reykjavíkurborg	Reykjavíkurborg	nveþ-s
hús	hús	nheo
sitt	sinn	feheo
og	og	c
verk	verk	nhfo
eftir	eftir	af
sinn	sinn	fekeo
dag	dagur	nkeo
.	.	pl

Í	í	af
safninu	safn	nheþg
er	vera	sfg3en
árlega	árlega	aa
sett	setja	sþgven
upp	upp	aa
sýning	sýning	nven
á	á	af
verkum	verk	nhfþ
listamannsins	listamaður	nkeeg
sem	sem	ct
ætlað	ætla	sþghen
er	vera	sfg3en
að	að	cn
draga	draga	sng
fram	fram	aa
